Date: 38.8757337037 | Trip: 956 | Vehicle ID: 450 | Total Distance: 1.759 km | Total Time: 287.500 secs | Total Idling Time: 101.900 secs | Total Fuel Consumed: 0.120 L | Total CO2 Emissions: 143.721 g
Date: 40.8765244167 | Trip: 966 | Vehicle ID: 450 | Total Distance: 1.141 km | Total Time: 285.000 secs | Total Idling Time: 147.000 secs | Total Fuel Consumed: 0.082 L | Total CO2 Emissions: 86.081 g
Date: 41.6537034815 | Trip: 972 | Vehicle ID: 450 | Total Distance: 9.722 km | Total Time: 1710.600 secs | Total Idling Time: 817.400 secs | Total Fuel Consumed: 0.524 L | Total CO2 Emissions: 594.814 g
Date: 43.6568944167 | Trip: 977 | Vehicle ID: 450 | Total Distance: 15.986 km | Total Time: 2500.000 secs | Total Idling Time: 478.300 secs | Total Fuel Consumed: 0.907 L | Total CO2 Emissions: 1036.537 g
Date: 44.6489610926 | Trip: 985 | Vehicle ID: 450 | Total Distance: 15.841 km | Total Time: 2008.300 secs | Total Idling Time: 333.600 secs | Total Fuel Consumed: 0.758 L | Total CO2 Emissions: 887.590 g
Date: 44.9349041019 | Trip: 987 | Vehicle ID: 450 | Total Distance: 1.994 km | Total Time: 371.600 secs | Total Idling Time: 109.200 secs | Total Fuel Consumed: 0.089 L | Total CO2 Emissions: 104.337 g
Date: 45.6425243796 | Trip: 988 | Vehicle ID: 450 | Total Distance: 15.144 km | Total Time: 2130.800 secs | Total Idling Time: 287.700 secs | Total Fuel Consumed: 0.778 L | Total CO2 Emissions: 858.552 g
Date: 45.7606841944 | Trip: 989 | Vehicle ID: 450 | Total Distance: 9.168 km | Total Time: 1728.100 secs | Total Idling Time: 299.700 secs | Total Fuel Consumed: 0.597 L | Total CO2 Emissions: 697.360 g
Date: 48.5784123333 | Trip: 990 | Vehicle ID: 450 | Total Distance: 15.099 km | Total Time: 1485.800 secs | Total Idling Time: 268.100 secs | Total Fuel Consumed: 0.761 L | Total CO2 Emissions: 887.504 g
Date: 50.6427093241 | Trip: 1004 | Vehicle ID: 450 | Total Distance: 15.204 km | Total Time: 1822.400 secs | Total Idling Time: 410.800 secs | Total Fuel Consumed: 0.812 L | Total CO2 Emissions: 1004.832 g
Date: 50.9924096296 | Trip: 1009 | Vehicle ID: 450 | Total Distance: 2.814 km | Total Time: 274.600 secs | Total Idling Time: 30.400 secs | Total Fuel Consumed: 0.111 L | Total CO2 Emissions: 132.985 g
Date: 51.9481286204 | Trip: 1013 | Vehicle ID: 450 | Total Distance: 8.819 km | Total Time: 1057.600 secs | Total Idling Time: 116.200 secs | Total Fuel Consumed: 0.334 L | Total CO2 Emissions: 413.602 g
Date: 52.9336513056 | Trip: 1019 | Vehicle ID: 450 | Total Distance: 8.477 km | Total Time: 1062.400 secs | Total Idling Time: 156.600 secs | Total Fuel Consumed: 0.360 L | Total CO2 Emissions: 456.098 g
Date: 53.0517739722 | Trip: 1020 | Vehicle ID: 450 | Total Distance: 2.580 km | Total Time: 350.500 secs | Total Idling Time: 59.400 secs | Total Fuel Consumed: 0.140 L | Total CO2 Emissions: 164.471 g
Date: 53.6428898426 | Trip: 1021 | Vehicle ID: 450 | Total Distance: 14.581 km | Total Time: 1615.400 secs | Total Idling Time: 303.000 secs | Total Fuel Consumed: 0.722 L | Total CO2 Emissions: 910.090 g
Date: 53.9449129907 | Trip: 1023 | Vehicle ID: 450 | Total Distance: 10.113 km | Total Time: 1210.800 secs | Total Idling Time: 149.100 secs | Total Fuel Consumed: 0.436 L | Total CO2 Emissions: 534.031 g
Date: 54.9555106204 | Trip: 1026 | Vehicle ID: 450 | Total Distance: 1.890 km | Total Time: 115.300 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.066 L | Total CO2 Emissions: 74.030 g
Date: 63.7760415556 | Trip: 1033 | Vehicle ID: 450 | Total Distance: 1.169 km | Total Time: 70.200 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.064 L | Total CO2 Emissions: 87.042 g
Date: 65.8637451852 | Trip: 1040 | Vehicle ID: 450 | Total Distance: 2.599 km | Total Time: 388.400 secs | Total Idling Time: 114.500 secs | Total Fuel Consumed: 0.206 L | Total CO2 Emissions: 252.665 g
Date: 66.9021585648 | Trip: 1042 | Vehicle ID: 450 | Total Distance: 1.162 km | Total Time: 102.300 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.063 L | Total CO2 Emissions: 70.176 g
Date: 71.9064713241 | Trip: 1062 | Vehicle ID: 450 | Total Distance: 5.600 km | Total Time: 607.300 secs | Total Idling Time: 97.100 secs | Total Fuel Consumed: 0.254 L | Total CO2 Emissions: 300.720 g
Date: 71.9550118889 | Trip: 1063 | Vehicle ID: 450 | Total Distance: 7.565 km | Total Time: 901.000 secs | Total Idling Time: 186.300 secs | Total Fuel Consumed: 0.414 L | Total CO2 Emissions: 521.488 g
Date: 72.6296966852 | Trip: 1064 | Vehicle ID: 450 | Total Distance: 15.196 km | Total Time: 1588.600 secs | Total Idling Time: 382.500 secs | Total Fuel Consumed: 0.827 L | Total CO2 Emissions: 999.267 g
Date: 72.9062569074 | Trip: 1068 | Vehicle ID: 450 | Total Distance: 8.411 km | Total Time: 1029.000 secs | Total Idling Time: 227.000 secs | Total Fuel Consumed: 0.366 L | Total CO2 Emissions: 468.217 g
Date: 74.005166537 | Trip: 1073 | Vehicle ID: 450 | Total Distance: 9.327 km | Total Time: 892.100 secs | Total Idling Time: 52.900 secs | Total Fuel Consumed: 0.395 L | Total CO2 Emissions: 461.152 g
Date: 74.3990254074 | Trip: 1074 | Vehicle ID: 450 | Total Distance: 9.414 km | Total Time: 953.500 secs | Total Idling Time: 111.100 secs | Total Fuel Consumed: 0.453 L | Total CO2 Emissions: 542.104 g
Date: 78.9461298519 | Trip: 1092 | Vehicle ID: 450 | Total Distance: 1.437 km | Total Time: 112.000 secs | Total Idling Time: 8.900 secs | Total Fuel Consumed: 0.066 L | Total CO2 Emissions: 75.074 g
Date: 79.6016321852 | Trip: 1093 | Vehicle ID: 450 | Total Distance: 15.818 km | Total Time: 1720.700 secs | Total Idling Time: 290.100 secs | Total Fuel Consumed: 0.920 L | Total CO2 Emissions: 1065.542 g
Date: 81.6439559259 | Trip: 1108 | Vehicle ID: 450 | Total Distance: 13.019 km | Total Time: 608.200 secs | Total Idling Time: 49.500 secs | Total Fuel Consumed: 0.679 L | Total CO2 Emissions: 843.049 g
Date: 82.6388933148 | Trip: 1113 | Vehicle ID: 450 | Total Distance: 2.007 km | Total Time: 123.900 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.109 L | Total CO2 Emissions: 136.073 g
Date: 82.8792217593 | Trip: 1115 | Vehicle ID: 450 | Total Distance: 8.389 km | Total Time: 996.200 secs | Total Idling Time: 168.500 secs | Total Fuel Consumed: 0.382 L | Total CO2 Emissions: 455.562 g
