DayNum,Trip,VehId,Total Distance(km),Total Time(secs),Total Idling Time(secs), Total Fuel Consumed(L),Total CO2 Emissions(g)
120.934462139,1234,299,3.939,459.600,103.400,0.362,458.388
124.626429102,1243,299,4.382,474.800,115.100,0.480,589.991
124.972627778,1245,299,4.505,341.600,37.200,0.293,332.459
129.62665438,1267,299,3.526,252.600,25.600,0.245,266.271
129.87050625,1270,299,3.265,375.800,75.200,0.267,312.299
136.873971722,1283,299,2.039,137.500,0.000,0.167,199.137
136.89771563,1284,299,3.425,334.600,34.700,0.236,295.111
137.599295926,1287,299,5.530,549.500,105.300,0.386,466.271
137.676754463,1288,299,3.645,342.100,55.300,0.343,448.415
138.684145667,1290,299,13.797,583.500,0.000,0.969,1169.588
139.879816907,1295,299,2.432,228.600,58.400,0.186,191.211
142.976847537,1310,299,6.311,598.700,117.300,0.461,513.255
152.949801167,1340,299,8.043,804.600,269.100,0.770,1221.465
153.944981685,1348,299,12.249,1195.600,301.500,0.890,1446.840
5.57512077778,1048,115,2.366,320.800,78.700,0.114,104.054
9.58047610185,1056,115,1.538,253.700,99.100,0.093,78.511
11.5743994352,1061,115,4.260,503.000,82.200,0.193,248.888
13.6292177037,1066,115,1.664,185.400,19.100,0.102,129.034
14.6057861944,1070,115,2.914,309.400,33.300,0.159,210.083
20.9087840093,1087,115,8.385,780.500,113.300,0.422,488.213
21.0468273982,1092,115,4.657,381.200,4.000,0.284,328.201
22.5750086019,1093,115,3.141,454.900,105.900,0.213,270.524
26.8233997315,1117,115,2.472,349.200,153.300,0.104,125.153
26.8855680833,1118,115,7.870,637.500,81.700,0.382,452.767
29.0166010648,1128,115,1.501,145.800,0.000,0.050,58.131
30.5626658796,1131,115,4.404,449.700,69.400,0.217,257.311
31.9048891667,1135,115,2.961,261.400,23.200,0.178,244.852
33.9374724815,1140,115,5.450,448.200,7.800,0.335,406.706
45.9653537963,1168,115,2.663,372.500,0.000,0.191,208.259
46.5473289444,1169,115,2.523,334.600,28.800,0.189,223.544
74.5287590741,1205,115,5.901,676.500,121.500,0.323,381.287
74.9007826852,1206,115,4.376,352.900,0.000,0.260,290.129
90.6208561481,1278,115,5.758,550.700,58.800,0.218,279.793
94.8431634352,1282,115,1.635,243.200,38.300,0.123,156.772
98.8045409722,1307,115,0.630,87.600,0.000,0.039,40.812
99.4995438889,1309,115,1.112,120.800,0.000,0.074,76.714
106.535591657,1327,115,5.607,626.800,92.600,0.360,414.735
106.916365389,1329,115,5.172,411.200,0.000,0.310,329.664
118.951906602,1381,115,1.407,304.100,89.500,0.084,95.320
119.827754537,1384,115,6.387,693.500,138.900,0.270,326.018
119.858542861,1386,115,4.076,363.000,89.200,0.193,246.949
120.914842685,1391,115,4.911,436.400,21.600,0.267,303.811
123.537242796,1397,115,4.280,486.100,111.300,0.163,183.275
143.537658231,1463,115,2.558,332.800,93.600,0.136,156.227
151.541495241,1488,115,2.675,333.900,90.800,0.127,133.071
9.55810885185,685,2,1.458,168.000,56.000,0.140,172.782
11.5940013241,694,2,3.802,445.400,134.100,0.260,313.243
17.7184408796,714,2,3.241,335.100,21.700,0.329,421.995
34.700724463,760,2,18.443,669.900,0.000,1.278,1349.753
50.9360149167,785,2,2.452,283.900,52.000,0.271,349.993
53.0129235556,795,2,7.721,382.800,35.500,0.535,634.805
68.9122843333,829,2,9.365,1221.600,255.100,0.872,1094.259
114.580995259,975,2,3.619,325.900,28.800,0.330,367.415
130.690477972,1028,2,3.222,430.000,123.700,0.372,450.756
136.686779361,1049,2,3.228,427.700,136.300,0.346,407.741
1.68945986111,106,584,5.584,669.100,137.600,0.531,622.751
3.76466287963,118,584,1.843,232.500,60.100,0.203,262.706
4.63709212963,129,584,4.029,354.200,53.300,0.275,297.078
6.70468597222,139,584,2.820,196.000,0.000,0.227,283.193
10.0383560185,160,584,11.267,439.800,3.500,0.767,882.497
10.0578649907,161,584,11.306,409.700,0.000,0.709,845.746
11.6772452593,174,584,4.460,353.700,51.900,0.333,380.026
11.8187354537,175,584,4.667,293.800,0.000,0.379,469.830
18.9744839259,220,584,12.991,552.400,10.000,0.835,946.477
19.6847483796,224,584,0.600,116.800,43.400,0.073,99.862
19.7180655463,227,584,6.993,481.400,4.000,0.472,578.152
22.5648238519,257,584,3.385,338.100,107.400,0.221,259.724
27.6391527407,281,584,2.859,527.500,228.600,0.332,414.218
27.6532789537,282,584,3.739,421.000,66.600,0.270,339.629
27.9030277222,283,584,7.469,2021.000,991.500,0.930,1068.554
38.0823860926,336,584,4.370,356.200,73.400,0.342,412.580
39.7906396019,346,584,1.869,160.100,0.000,0.175,219.108
41.9286642222,360,584,2.284,167.400,0.000,0.172,196.823
43.7778174444,372,584,2.612,188.000,9.600,0.231,307.625
43.8243515185,375,584,8.052,364.800,0.000,0.590,712.493
43.8799501389,376,584,6.041,415.600,13.300,0.485,612.077
45.7752477963,385,584,0.960,80.500,0.000,0.078,88.991
47.7656521019,396,584,8.038,771.700,189.600,0.658,829.384
55.882326037,446,584,18.591,1081.500,226.000,1.413,1567.202
58.7627937963,472,584,8.125,445.400,22.900,0.574,632.400
59.6846353611,482,584,14.220,653.200,69.000,0.920,1064.139
60.6026642963,489,584,0.980,68.300,0.000,0.074,88.095
60.7857889259,492,584,2.016,167.400,4.600,0.167,204.973
67.0374273241,522,584,12.139,1092.600,154.400,0.936,1089.490
67.6433382222,526,584,2.382,272.400,48.200,0.253,291.677
68.6321639815,532,584,2.315,228.300,70.300,0.269,328.393
68.8414259259,534,584,1.700,119.700,3.000,0.161,192.612
75.6550724722,573,584,6.505,651.900,52.600,0.627,737.467
78.7380856296,585,584,5.569,458.100,6.600,0.472,547.537
80.6942892222,607,584,4.664,318.100,0.000,0.356,465.553
81.8441317222,617,584,5.553,357.700,0.000,0.386,462.613
82.7105206296,625,584,4.357,341.700,47.200,0.319,402.387
85.7814823241,637,584,20.943,985.100,24.900,1.390,1660.482
85.9534029815,638,584,3.823,386.400,116.000,0.270,316.213
90.5259708611,679,584,6.931,436.600,0.000,0.421,481.759
92.4269467963,690,584,6.064,421.500,0.000,0.433,499.346
94.5382597593,706,584,3.290,388.300,146.700,0.318,369.765
101.442529796,744,584,2.838,221.500,0.000,0.256,308.271
101.552521056,745,584,6.550,606.700,98.000,0.586,683.554
120.595811454,785,584,2.326,186.300,6.500,0.212,264.224
123.028182944,801,584,12.981,558.600,0.000,0.825,936.167
124.403766667,808,584,6.098,417.900,0.000,0.419,479.964
124.415014167,809,584,6.556,607.600,61.700,0.481,590.610
124.469749324,810,584,5.036,509.100,91.900,0.415,533.886
124.612343843,812,584,2.383,249.200,18.600,0.181,212.578
128.460578685,830,584,6.165,885.000,337.000,0.601,765.254
130.559775852,844,584,4.382,402.100,114.800,0.369,429.403
130.763394546,846,584,2.338,186.700,46.600,0.194,218.015
138.62476587,891,584,0.919,116.700,55.400,0.093,109.059
141.488885361,898,584,4.098,499.700,184.700,0.350,410.278
143.510860435,909,584,6.032,452.900,43.200,0.456,563.335
144.472588056,915,584,6.039,529.300,82.300,0.450,571.249
144.843426333,917,584,4.698,304.800,0.000,0.322,357.262
145.777619083,923,584,21.742,1146.200,134.300,1.438,1700.334
150.475842278,942,584,6.039,874.700,366.900,0.560,614.422
150.563224926,943,584,0.931,83.500,10.100,0.065,86.465
2.51351355555,195,564,7.294,1192.600,319.000,0.464,521.569
4.94805585186,204,564,6.203,934.600,297.100,0.260,310.119
4.96701361111,205,564,7.128,780.600,164.100,0.379,418.675
